審査;しんさ、심사 
人材;じんさい、인재 
真珠;しんじゅ、진주 
迅速;じんぞく、신속함 
慎重;しんちょう、신중 
辛抱;しんぼう、참음, 인내
人脈;じんみゃく、인맥
遂行;すいこう、수행
随時;ずいじ、수시
推進;すいしん、추진
崇拝;すうはい、숭배
健やか;すこやか、튼튼함, 건전함
勧める;すすめる、권하다
廃れる;すたれる、스러지다. 유행하지 않게 되다
速やか;すみやか、재빠름. 신속함
澄む;すむ、맑아지다 맑다.
盛大;せいだい、성대함
政府筋;せいふすじ、정부 소식통
是正;ぜせい、시정
設置;せっ ち、설치
折衷;せっちゅう、절충
迫る;せまる、①(시각) 다가오다 ②(상태) 직면하다
前途;ぜんと、전도,앞길
相互;そうご、상호
相場;そうば、시세
添える;そえる、첨부하다
束縛;そくばく、속박
損なう;そこなう、파손하다. 상하게 하다
素材;そざい、소재
阻止;そし、저지
訴訟;そしょう、소송
措置;そち、조치,조처
率先;せっせん、솔선
深税;そんぞく、존속
互いに;たがいに、서로,다 함께
多岐にわたる;たきにわたる、여러 갈래에 걸치다
安協;たきょう、타협
託す;たくす、맡기다
蓄える;たくわえる、대비해 두다. 저장하다
漂う;ただよう、떠돌다. 감돌다. 표류하다
脱する;だっする、벗어나다
中旬;ちゅうじゅん、중순
中枢;ちゅうすう、중추
彫刻;ちょうこく、조각
徴収;ちょうしゅう、징수
沈黙;ちんもく、침묵
陳列;ちんれつ、진열
費やす;ついやす、소비하다
尽くす;つくす、다하다. 애쓰다
償い;つぐない、보상, 속죄
告げる;つげる、알리다
努めて;つとめて、애써, 되도록
募る;つのる、① 모집하다 ② 더해지다
貫く;つらぬく、관철하다
提案;ていあん、제안
定義;ていぎ、정의
邸宅;ていたく、저택
手軽に;てがるに、간편하게. 손쉽게 
手際;てぎわ、솜씨, 수완
徹底;てってい 、철저, 투철
徹夜;てつや、철야
