かたくなな;완고한
頑固な;がんこな、완고한
画期的な;かっきてきな、획기적인
今までになく新しい;지금까지 없이 새로운
かねがね;전부터, 미리
かろうじて;겨우, 간신히
なんとか;그럭저럭, 간신히
簡素な;かんそな、간소한
シンプルな;단순한
気掛かり;きがかり、걱정
仰天した;ぎょうてんした、깜짝 놀랐다
極力;きょくりょく、최대한
できる限り;가능한 한
クレーム;클레임, 불만
苦情;くじょう、불평 불만
けなされる;비방의 말을 듣다
悪く言われる;나쁜 말을 듣다
故意に;こいに、고의로
わざと;일부러
互角だ;ごかくだ、호각이다, 막상막하다
克明に;こくめいに、극명하게
詳しくて丁寧に;くわしくてていねいに、자세하고 주의 깊게
誇張して;こちょうして、과장해서
ことごとく;모두, 모조리
コントラスト;대비
対比;たいひ、대비
ささいな;사소한
錯覚する;さっかくする、착각하다
勘違いする;かんちがいする、착각하다
殺到した;さっとうした、쇄도했다
一度に大勢来た;いちどにおおぜいきて、한번에 많이 왔다
雑踏;ざっとう、붐빔, 혼잡
人込み;ひとごみ、붐빔
仕上げる;しあげる、완성하다(=完成する)
しきりに;자주, 몇 번씩이나(=何度も)
しくじる;망치다(=失敗する)
自尊心;じそんしん、자존심(=プライド)
シビアだ;엄격하다(=厳しい)
しぶっている;주저하다
若干;じゃっかん、약간
わずかに;조금
従来;じゅうらい、종래(=これまで、지금까지)
紹介する;しょうかいする、조회하다(=問い合わせる、문의하다)
