~을 따라서, ~ぞい;~沿い
상이함, 다름, そうい;相違
그러고보니;そういえば
ぞうか;増加
속출, ぞくしゅつ;続出
속하다, ぞくする;属する
잇달아, 끊임없이, ぞくぞく;続々(と)
덜렁대다;そそっかしい
대비하다;そなえる
고루 갖추다;そろえる
존중, そんちょう;尊重
대응, たいおう;対応
체격, たいかく;体格
대책, たいさく;対策
대등한, たいとうな;対等な
대립, たいりつ;対立
끌어안다, だきしめる;抱きしめる
(밥을) 짓다;たく
저장하다, 비축하다, たくわえる;蓄える
확실하다, 명확하다, たしかだ;確かだ
즉시, 당장;ただちに
이르다, 도달하다, たつする;達する
듬뿍, 많이;たっぷり
믿음직하다, 기대할 만하다;たのもしい
단정하지 않다;だらしない
단(거리 등)~, たん~;短~
가까이 대다, ちかづける;近づける
착착, ちゃくちゃくと;着々と
중계, ちゅうけい;中継
중심, ちゅうしん;中心
주목, ちゅうもく;注目
초과, ちょうか;超過
조절, ちょうせつ;調節
어지르다, さらかす;散らかす
그만;つい
통하지않다, つうじない;通じない
처넣다, 추궁하다, つつこむ;突つ込む
발에 걸려넘어지다, 실패하다;つまずく
막히다, つまる;詰まる
채워넣다, つめこむ;詰め込む
정지, ていし;停止
정정, ていせい;訂正
적당한, てきどな;適度な
적당함, てごろ;手ごろ
엉터리로;でたらめに
철야, てつや;徹夜
수고, てま;手間
바로앞, てまえ;手前
비추다, てらす;照らす
전개, てんかい;展開
전환, てんかん;転換
전근, てんきん;転勤
점검, てんけん;点検
통일, とういつ;統一
기어코, 꼭;どうしても
어차피;どうせ
도입, どうにゅう;導入
도피, とうひ;逃避
투명, とうめい;透明
특색, とくしょく;特色
특정, とくてい;特定
독특, どくとく;独特
토지, とち;土地
훨씬 전에;とっくに
뛰어넘다, とびこえる;飛び越える
흩날리다, とびちる;飛び散る
노력, どりょく;努力
또한, 덧붙여말하면;なお
전망, ながめ;眺め
경사가 완만함;なだらか
납득, なっとく;納得
따르다, 모방하다;ならう
연약함, なんじゃく;軟弱
어딘지모르게;なんとなく
서투름, にがて;苦手
쥐다, にぎる;握る
흐려지다, 탁해지다, にごる;濁る
빙긋이;にっこり
(기사) 싣다, のせる;載せる
극복하다;のりこえる
느릿느릿;のろのろ
느긋하게, 태평하게;のんびり
배달, はいたつ;配達
배율, ばいりつ;倍率
박수, はくしゅ;拍手
빠지다, 제외되다, はずれる;外れる
발휘, はっき;発揮
はっこう;発行
はっそう;発想
딱(뜻밖에 마주치는 모양);ばったり
はつばい;発売
はつめい;発明
はで;派手
말을 걸다, はなしかける;話しかける
(이야기가)끊이지 않다, つきない;話が尽きない
줄이다, 생략하다, はぶく;省く
장면, ばめん;場面
유행하다;はやる
뿔뿔이 흩어짐;ばらばら
화를 내다, はらをたてる;腹を立てる
반영, はんえい;反映
말리다, ひきとめる;引き止める
낮은 목소리;ひくい声
소곤소곤;ひそひそ
걸리다;引っかかる
흠뻑;びっしょり
꼭, 딱(빈틈없이 맞음);ぴったりと
심한 꼴을 당하다;ひどい目にあう
비난, ひなん;非難
피난, ひなん;避難
끈;ひも
비용, ひよう;費用
평가, ひょうか;評価
평판, ひょうばん;評判
비례, ひれい;比例
민감, びんかん;敏感
보급, ふきゅう;普及
포함하다, ふくむ;含む
포함되다, ふくまれる;含まれる
적합하다, 어울리다, ふさわしい
무사함, ぶじ;無事
복구, ふっきゅう;復旧
불만, ふまん;不満
빈둥빈둥, 어슬렁어슬렁;ぶらぶら
분석, ぶんせき;分析
분담, ぶんたん;分担
분배, ぶんぱい;分配
풍부한, ほうふな;豊富な
법률, ほうりつ;法律
명랑함;ほがらか
그저, 단지;ほんの
흐릿하게;ぼんやり
우물쭈물;まごまご
마찰, まさつ;摩擦
가난하다;まずしい
제일 먼저;まっさきに
헤매다, まよう;迷う
외관, 겉보기, みかけ;見かけ
표제어, みだし;見出し
길가, みちのはし;道のはし
듣다, みみにする;耳にする
구분하다, みわける;見分ける
(멀리) 바라보다, みわたす;見渡す
めいしょ;名所
めざす;目指す
표시, めじるし;目印
눈에 띄다, めにみえる;目に見える
눈을 감다, めをとじる;目を閉じる
대변하다, 마주보다, めんする;面する
시끄럽다, 까다롭다;やかましい
마구, 몹시, 함부로;やたらに
어쩔 수 없다;やむをえない
유쾌함, ゆかい;愉快
풍부하다, ゆたかだ;豊かだ
(가벼운 것) 흔들흔들;ゆらゆら
손쉽게, よういに;容易に
요지, ようし;要旨
얼굴 모양과 체격, ようし;容姿
요소, ようしょ;要所
모양, 상황, ようす;様子
용적, ようせき;容積
더러워지다, よごれる;汚れる
예측, よそく;予測
불려 세워지다, よびとめられる;よびとめられる
리듬;リズム
적은, 작은;わずかな
끼어들다, 새치기하다;わりこむ、割り込む 
비교적;わりと
