合図;あいず, 신호(눈짓, 소리 등)
あかり;등불, 불빛
明らか;분명함
甘やかす;응석을 받아 주다
あわただしい;어수선하다, 분주하다
温暖;おんだん
生き生き;생생한 모양
いちいち;일일이
今に;일제히
受け入れる;받아들이다
薄める;うすめる, 연하게하다
演説;えんぜつ, 연설
延長;えんちょう
覆う;おおう, 덮다
大げさ;과장됨
思いつく;생각이 떠오르다
会見;かいけん
外見;がいけん
解約;かいやく, 해약
かすか;희미함, 어렴풋함
がっかり;낙담함, 실망함
かなう;이루어지다
頑丈;がんじょう, 튼튼하고 옹골참
感心;かんしん、감탄
気候;きこう、기후
きっぱり;딱 잘라, 단호히
くれぐれも;아무쪼록
掲示;けいじ, 게시
限定;げんてい, 한정
交代;こうたい, 교대
公同;こうどう, 합동
心強い;こころづよい, 마음이 든든하다
快い;こころよい, 상쾌하다, (남에게) 호의적이다
こつこつ;꾸준히 노력하는 모양
催促;さいそく, 재촉
さっさと;빨리빨리
さびる;녹슬다
差別;さべつ, 차별
作法;さほう, 예의범절
支持;しじ, 지지
実施;じっし, 실시
質素;しっそ, 검소
実に;じつに, 실로
支配する;しはいする, 지배하다
しみる;배다, 스며들다
取材;しゅざい, 취재
充満;じゅうまん, 충만
順調;じゅんちょう、순조로움
生じる;しょうじる、발생하다, 생기다
初歩;しょほ, 초보
深刻;しんこく, 심각
世間;せけん, 세간
せっかく;모처럼
節約;せつかく, 절약
せめて;적어도
即座に;そくざに, 즉석에서, 당장
続出;ぞくしゅつ, 속출
素材;そざい, 소재
大した;대단한, 특별한
たくましい;늠름하다
多彩;たさい, 다채로움
たしか;아마
畳む;たたむ, (이불, 옷) 개다
妥当;だとう, 타당함
たとえ～ても;비록 ~해도
たまたま;때마침, 우연히
保つ;たもつ, (상태) 유지하다
～だらけ;~투성이
だらしない;단정하지 않다, 칠칠치 못하다
単なる;たんなる, 단순한
縮む;ちぢむ, 줄어들다
中断;ちゅうだん, 중단
注目;ちゅうもく, 주목
頂上;ちょうじょう, 정상
ちらかす;어지르다
散らかる;ちらかる, 흩어지다, 널브러지다
尽きる;つきる, 다 떨어지다
手軽;てがる、손쉬운 모양
展開;てんかい、전개
どうせ;어차피
特殊;とくしゅ、특수
とっくに;훨씬 전에, 벌서
どっと;왈칵, 왁자글
とぼしい;부족하다
日課;にっか、일과
鈍い;にぶい、둔하다
乗り越す;のりこす、내릴 역을 지나치다
乗り継ぐ;のりつぐ、갈아타다
廃止;はいし、폐지
外す;はずす、(짐을) 풀다
発達;はったつ、발달
範囲;はんい、범위
反省;はんせい、반성
引き返す;ひきかえす、되돌아가다
ふさぐ;틀어막다, 가리다
ふさわしい;어울리다
ふもと;산기슭
振り向く;ふりむく、뒤돌아보다
分解;ぶんかい、분해
分野;ぶんや、분야
へだてる;사이를 떼다, 멀리하다
方針;ほうしん, 방침
補足;ほそく、보충
微妙;びみょう、미묘함
向かい;맞은편
矛盾;むじゅん、모순
夢中;むちゅう、몰두함
目上;めうえ、윗사람, 연장자
めくる;(책장) 넘기다
ものたりない;(무언가) 부족하다
最寄り;もより, 가장 가까움, 근처
役目;やくめ, 역할
役割;やくわり, 역할
破れる;やぶれる、찢어지다
行方;ゆくえ、행방
用途;ようと、용도
冷静;れいせい、냉정
論争;ろんそう、논쟁
わずか;약간
