遅;おそい、おくれる 늦다
負;まける、おう (책임을) 지다
生;いきる、うむ 낳다、うまれる、はえる 나다
抱;だく 안다、いだく (꿈을) 품다
冷;さめる 식다、さます 식히다、ひえる 차가워지다、ひやす 차게하다
届;とどく 도착하다、とどける 보내주다
折;おれる 부러지다、おる 꺾다
出;でる、だす
入;はいる、いれる
平;たいらな 평평한、ひらたい 납작한
苦;くるしい 힘든、にがい 쓴
臭;くさい、におい
楽;らくな、たのしい
優;やさしい、すぐれる 뛰어난
親;おや 부모、したしい 친한
腹;おなか、はら 배
空;あく 비다、そら 하늘、からの 빈
暮す;くらす、=住む
届く;とどく、=着く
習う;ならう、=学ぶ、学習する、勉強する
勤める;つとめる、=働く、勤務する
貼る;はる、=つける
濡れる;ぬめる 젖다、=湿る しめる 눅눅하다
散る;さる (꽃이) 지다、=枯れる かれる 마르다
柄;がら 모양、=模様 もよう 모양
将来;しょうらい、=未来
厳しい;きびしい、=怖い
得意な;とくいな、=上手な
突然;とつぜん、=いきなり
なるべく;=できるだけ
ほぼ;ほとんど、だいたい
