사물;2 ものこと 物事 
테레비;テレビ  
라디오;ラジオ  
카메라;カメラ  
컴퓨터;コンピュ?タ?  
자동차;じどうしゃ 自動車 
책상;つくえ 机 
의자;いす  
전차;でんしゃ 電車 
지하철;ちかてつ 地下? 
자전거;じてんしゃ 自?車 
보통;ふつう 普通 
급행;きゅうこう 急行 
특급;とっきゅう 特急 
비행기;ひこうき  
배, 선박;ふね 船 
택시;タクシ?  
몸;からだ ? 
손;て 手 
젓가락;はし はし 
숟가락, 스푼;スプ?ン  
나이프;ナイフ  
포크;フオ?ク?  
가위;はさみ  
팩시밀리;ふあくす  
워드프로세서;ワ?プロ  
퍼스널 컴퓨터;パソコン  
펀치;パンチ  
호치키스;ホッチキス  
셀로판테이프;セロテ?プ  
지우개;けしごむ 消しゴム 
종이;かみ 紙 
꽃;はな 花 
셔츠;シャツ  
선물;プレゼント  
짐;にもつ 荷物 
돈;おかね お金 
표;きっぷ 切符 
여행;りょこう 旅行 * 유럽여행
기념선물;おみやげ お土産 * 유럽여행의 기념선물
벚꽃;さくら ? 
반;はん 半 
번호;ばんごう 番? 
몇번;なんばん 何番 
거기;そちら  
문의하신 번호;おといあわせのばんごう お問い合わせの番? 
물건;もの 物 셀때, * 1つ2つ(물건), ~にん(사람), ~だい(차, 자전거, 기계), 何人(몇사람), ~回　かい(횟수)
부츠, 구두;ブ?ツ、くつ 靴 * 1足2足（いっそく、にそく）
생선회;さしみ 刺身 * 1枚2枚（いちまい、にまい 얇고 평평한 것）
생선, 참치;さかな、マグロ 魚 * 1本2本（いっぽん、にほん）
초밥;「お」すし 「お」?司 * 1貫2貫（いっかん、にかん）
쇠고기덮밥;ぎゅうどん 牛どん 
스키야키;すきやき すき?き * 쇠고기야채 전골
쵸콜렛;チョコレ?ト  
커피;コ?ヒ?  
와인;ワイン  
구두;くつ 靴 
넥타이;ネクタイ  
강;かわ 川 
수첩;てちょう  
엔;えん 円 
아침밥;あさごはん 朝ごはん 
점심밥;ひるごはん ?ごはん 
