3형식;3
1) います;* 사전형: い열→う열, 과거 : い,り,ち→った, み,び→んだ, き,ぎ→いた(예외 行きます는 いった, できます、あびます、起きます는 +た만 옴), 그외는 +た (못하겠다)ない형 : い열→あ열+ない, (い는 わ로)
(담배를) 피웁니다, 빱니다;すいます/吸います
(友達に）만납니다;あいます/?います* ~를 만나고 싶다 : ~に　あいたい
말합니다;いいます/言います* ~라고 말했습니다. : ~と 言いました
생각합니다;おもいます/思います* ~라고 생각했습니다. : ~と おもいました
생각납니다;おもいだします/思い出します
받습니다;もらいます* 조직から／사람に、から로부터
삽니다;かいます/買います
배웁니다;ならいます/習います* 조직から／사람に、から로부터
앞으로 신세를 지겠습니다.;これからおせわになります。/これからお世話になります。
돕습니다;でつだいます/手?います
지불합니다;はらいます/?います
사용합니다;つかいます/使います* つかれば 사용하면* ～을 잘못 사용한다면 : ～を　間違えて つかったら
씻습니다, 세탁합니다;あらいます/洗います
노래합니다;うたいます/歌います
생각합니다;おもいます/思います* ~한다고 생각합니다. だと~
가지고 갑니다;もっていきます/持って行きます
데리고 갑니다;つれて　いきます/連れて行きます
（～時間） 걸립니다, (~お金が）듭니다;かかります/* 많은 돈이 듭니다
만듭니다;つくります/作ります、造ります* 만들면 좋다 : つくればいい
끝납니다;おわります/終わります
들어갑니다;はいります/入ります* 다방에 喫茶店(きっさてん)に～
탑니다;のります/?ります* 전차에 電車に～
내립니다;おります/降ります* 전차에서 電車を~
(사진을) 찍습니다;とります/撮ります
자릅니다;きります/切ります
보냅니다;おくります/送ります
집습니다;とります/取ります
이야기합니다;はなします/話します
팝니다;うります/?ります
압니다;しります/知ります* 알고 있습니다 : 知っています* 모릅니다 : しりません
필요합니다;いります/要ります* 비자가~ ビザが~
씁니다;かぶります/* 모자를~ (帽子を～)ぼうしを～ 이불을 (뒤집어)~ (布?を~)ふとんを～
손을 댑니다;ちわります/地割ります* 문에~（ドアに～）
배웅합니다;おくります/送ります* 사람을~ 人を
먹습니다;とります/取ります* 나이를~　(年を～)としを
부릅니다;よびます/呼びます
듭니다;もちます/持ちます
마십니다;のみます/?みます
2) ます형;* 사전형: る, 과거 : ＋た
합니다;します/* ない형은 しない
봅니다;みます/見ます
듣습니다;ききます/聞きます
읽습니다;よみます/?みます
씁니다;かきます/書きます
겁니다;かけます/* 전화를 겁니다
맞이합니다, 마중합니다;むかえます/迎えます
보냅니다;だします/出します* 편지를 보냅니다
가능하다;できます/* 가능하다면 : できれば
빌려줍니다;かします/貸します
샤워를 받다;シャワ?を　あびます/シャワ?を　浴びます
외출합니다;でかけます/出かけます
나갑니다;でます/出ます* 집을 うちを～
갖고 있습니다, 지금 손에 들고 있습니다;もって　います/持って　います
켭니다;つけます
끕니다;けします/消します
엽니다;あけます/開けます
닫습니다;しめます/閉めます
세웁니다, 멈춥니다;とめます/止めます
갈아탑니다;のりけます/?り換えます
빌립니다;かります/借ります빌리는 것은 카"리"마스。* 조직から／사람に、から로부터* 사전형 : 借りる。ない형 : かりない
끼얹습니다;あびます/浴びます* 샤워를~* 사전형 : 浴びる。ない형 : あびない
그만둡니다;やめます/* 회사를~
누릅니다;おします/押します
기억합니다;おぼえます/?えます
잊습니다;わすれます/忘れます
잃습니다;なくします
냅니다, 제출합니다;だします/出します* 레포-토를~
반환합니다;かえします/返します
벗습니다;ぬぎます/?ぎます
가지고 옵니다;もってきます/持って?ます
마십니다, 먹습니다;のみます/?みます* 약을~ (?を～)くすりを～
할 수 있습니다;できます
데리고 옵니다;つれて　きます/連れて?ます
(나에게) 줍니다;くれます/
모읍니다;あつめます/集めます
버립니다;すてます/捨てます
바꿉니다;かえます/換えます
씁니다;かけます/* 안경을~ (眼鏡を～) 이불을 (덮어)~ (布?を~)ふとんを～, 옷을 옷걸이에 건다. 服(ふく)をハンガ?にかける
입습니다;きます/着ます* 셔츠를~ シャツを～
신습니다;はきます/* 구두를~ (靴を～)くつを～
조사합니다;しらべます/調べます
고칩니다;なおします/直します
말합니다;いいます/言います
이깁니다;かちます/勝ちます
집니다;まけます/負けます
묻습니다;ききます/聞きます* 선생님께~(先生に）
돌립니다;まわします/回します
당깁니다;ひきます/引きます
바꿉니다;かえます/?えます
움직입니다;うごきます/動きます* 시계가~ (時計が～)とけいが～
걷습니다;あるきます/?きます* 길을~（みちを～）道を～
조심합니다;きをつけます/きをつけます* 자동차를 조심해 (車にきをつけて）
끓입니다;いれます/* 커피를~　コ?ヒ?を
생각합니다;かんがえます/考えます
