 잘 됩니다;うまく　いきます   
 고대하고 있습니다;?しみに　して　います   
以上です 이상입니다;いじょうです   
優勝します 우승합니다;ゆうしょうします   
眠ります 잡니다;ねむります   
目が　?めます 잠이 깹니다;めが　さめます   
鳴ります 울립니다;なります   
 맞추어 놓습니다;セットします   
?きます 굽습니다;やきます   
渡します 건넵니다, 넘깁니다;わたします   
?って　?ます 돌아옵니다;かえって　きます   
(バスが)　出ます (버스가) 출발합니다;(バスが)　でます   
 지금 괜찮습니까?;今　いいでしょうか   
どちら?でしょうか 누구십니까?;どちらさまでしょうか   
向かいます 향합니다;むかいます   
お待たせしました 기다리셨습니다;おまたせしました   
入力します 입력합니다;にゅうりょくします   
(本が)　出ます (책이) 나옵니다;(ほんが)　でます   
(人が)　集まります (사람이) 모입니다;(ひとが)　あつまります　   
(人が)　分かれます (사람이) 헤어집니다;(ひとが)　わかれます　   
長生きします 장수합니다;ながいきします   
(音??が)　します (소리?목소리가) 납니다;(おと?こえが)　します   
(味が)　します (맛이) 납니다;(あじが)　します   
 (냄새가) 납니다;(においが)　します   
(傘を)　さします (우산을) 씁니다, 받습니다;(かさを)　さします   
婚約します 약혼합니다;こんやくします   
知り合います 아는 사이가 됩니다;しりあいます   
(男性と)　比べます (남성과) 비교합니다;(だんせいと)　くらべます   
降ろします、下ろします 내려놓습니다;おろします   
?けます 전합니다, 신고합니다;とどけます   
世話を　します 돌봅니다, 보살핍니다;せわを　します   
 괜찮습니다;かまいません   
 즐깁니다;?しみます   
代わりを　します 대체합니다, 대신합니다;かわりを　します   
競走します 경주합니다;きょうそうします   
 붙잡습니다, 사로잡습니다;とらえます   
(?社に)　勤めます (회사에) 근무합니다;(かいしゃに)　つとめます   
休みます 잡니다, 쉽니다;やすみます   
(いすに)　掛けます (의자에) 앉습니다;(いすに)　かけます   
過ごします 지냅니다;すごします   
(銀行に)　寄ります (은행에) 들릅니다;(ぎんこうに)　よります   
 계십니다, 가십니다, 오십니다(존경어);いらっしゃいます   
召し上がります 드십니다, 마시십니다(존경어);めしあがります   
 말씀하십니다(존경어);おっしゃいます   
 하십니다(존경어);なさいます   
ご?に　なります 보십니다(존경어);ごらんに　なります   
ご存じです 아십니다(존경어);ごぞんじです   
(熱を)　出します (열이) 납니다;(ねつを)　だします   
よろしく　お?え　ください 잘 전해 주십시오;よろしく　おつたえ　ください   
受賞します 수상합니다, 상을 받습니다;じゅしょうします   
 ~이십니다(존경어);～で　いらっしゃいます   
お持ちです 가지고 계십니다(존경어);おもちです   
?ります 갑니다, 옵니다(겸양어);まいります   
 (사람이) 있습니다(겸양어);おります   
 먹습니다, 마십니다, 받습니다(겸양어);いたできます   
申します 말씀드립니다(겸양어);もうします   
 합니다(겸양어);いたします   
?見します 봅니다(겸양어);はいけんします   
存じます 압니다(겸양어);ぞんじます   
伺います 듣습니다, 갑니다(겸양어);うかがいます   
お目に　かかります 만나뵙습니다(겸양어);おめに　かかります   
 (물건)있습니다(공손어);ございます   
 ~입니다(공손어);～で　ございます   
緊張します 긴장합니다;きんちょうします   
放送します 방송합니다;ほうそうします   
(ビデオに)　撮ります (비디오에) 녹화합니다;(ビデオに)　とります   
 (꿈이) 이루어집니다;(夢が)　かないます   
 한 마디 해도 되겠습니까?;ひとこと　よろしいでしょうか   
協力します 협력합니다;きょうりょくします   
 건강하십니까?;お元?で　いらっしゃいますか   
迷惑を　かけます 폐를 끼칩니다;めいわくを　かけます   
生かします 살립니다;いかします   
 * ~해 주시지 않겠습니까?;～て　いただけませんか   
 * 이유 설명하거나, 이유 물을 때 です말투;사전형/과거형 + ~んです、～んですか   
 * ~께 드렸습니다;～に　さしあげました   
 * ~에게 줬습니다(사람);～に　あげました   
 * ~에게 ~해줬습니다(사람);～に　～て　あげました   
 * ~에게 줬습니다(동식물);～に　やりました   
 * ~에게 ~해줬습니다(동식물);～に　～て　やりました   
 * ~께 받았습니다;～に　いただきました   
 ~께 틀린 곳을 고쳐받았습니다;～に　まちがいを　直して　いただきました   
 * ~께 ~해 받았습니다;～に　～て　いただきました   
 가르쳐주시지 않겠습니까?;?えて　いただけませんか   
 * ~에게 받았습니다;～に　もらいました   
 * ~에게 ~해 받았습니다;～に　～て　もらいました   
 * ~께서 저에게 주셨습니다;～は　私に　くださいました   
 * ~께서 저에게 ~해 주셨습니다;～は　私に　～て　くださいました   
 가르쳐주지 않겠습니까?;?えて　くださいませんか   
 ~께서 저에게 다도를 가르쳐주셨습니다;～は　私に　お茶を　?えて　くださいました   
 * ~가 저에게 주었습니다;～は　私に　くれました   
 * ~가 저에게 ~해 주었습니다;～は　私に　～て　くれました   
