はかどっている;순조롭게 진행되고 있다(=順調に進んでいる)
漠然;ばくぜん、막연함
ぼんやりしている;어렴풋하다
パックアップ;지원
支援;しえん、지원
抜群だった;ばつぐんだった、발군이었다, 뛰어났다
他と比べて特によかった;다른 것과 비교해서 특히 좋았다
張り合う;はりあう、경쟁하다
競争する;きょうそうする、경쟁하다
競い合う;きそうあう、경쟁하다
ひそかに;살짝, 몰래
こっそり;몰래
ふいに;갑자기(=突然)
不用意;ふようい、조심성이 없음
不注意;ふちゅうい、부주의함
弁解して;べんかいして、변명하고
妨害する;ぼうがいする、방해하다
じゃまする;방해하다
抱負;ほうふ、포부
決意;けつい、결의
まばらだ;드문드문하다
見合わせる;みあわせる、실행을 미루다, 보류하다(=中止する)
無償で;むしょうで、무상으로
ただで;무료로
むっとした;화가 났다(=怒った)
めいめいに;각각에게
一人一人に;한 명 한 명에게
メカニズム;메커니즘
仕組み;しくみ、구조
もくろむ;계획하다
厄介な;やっかいな、귀찮은, 번거로운(=めんどうな)
やむを得ず;やむをえず、어쩔 수 없이(=しかたなく)
ゆとり;여유
余裕;여유
落胆する;らくたんする、낙담하다(=がっかりする)
ルーズだ;루즈하다, 허술하다
だらしない;칠칠치 못하다
歴然としている;れきぜんとしている、확실하다
はっきりしている;분명하다
朗報;ろうほう、낭보, 기쁜 소식(=うれしい知らせ)
わずらわしい;번거로운, 귀찮은(=めんどうな)
