～あっての仕事;~이 있어야 성립하는 일
～するか否(いな)か;~했는지 여부
いかがしましたか;무슨 일이신가요?(どうされましたか？)
結果いかんでは;~결과 여하에 따라서는
結果いかんによっては;~결과 여하에 따라서는
結果いかんによらず;~결과 여하에 관계없이
結果いかんにかかわらず;~결과 여하에 관계없이
～されようが;~당하더라도
～されようと;~당하더라도
～しようが～しまいが;~하든 ~하지 않든
～しようと～しまいと;~하든 ~하지 않든
～だろうが、～だろうが;~이든 ~이든
～だろうと、～だろうと;~이든 ~이든
～しようにも～できない;~하려고 해도 ~할 수 없다
～行こうにも行けない;가려고 해도 갈 수 없다
うらやましいかぎりだ;너무 부럽다
～したが最後;일단 ~했다 하면
買い物かたがた;쇼핑도 할 겸
～するかたわら;~하는 한편
買い物がてら;쇼핑하는 김에
～するが早いか;~하자마자
2メ-トルからある;2미터나 되는
～するきらいがある;~하는 좋지 않은 경향이 있다
迷惑極(きわ)まりない;민폐이기 짝이 없다
迷惑極まる;민폐이기 짝이 없다
君ごとき人間;너 같은 인간
花が散(ち)るかのごとく;눈이 내리는 것처럼
仕事中のこととて;일하는 중이라서
～することなしに;~하지 않고는
～したあげく、このしまつだ;이 꼴이다, 이 모양이다
いいことずくめ;좋은 일 투성이(계속해서 생김)
～せずにはおかない;반드시 ~하게 된다
～せずにはすまない;반드시 ~해야한다
～すら;~조차
～するそばから;~하는 족족, ~하기 무섭게
だた～するのみ;오직 ~할 뿐임
～したところで;~해 봤자
～するだに;~하는 것 만으로도
一人たりとも;한 사람이라도
きょうしたるもの;교사의 입장에 있는 사람
持ちつ持たれつの;상부상조하는(~하거나 ~하거나)
