信頼;しんらい
人類;じんるい
人類学;じんるいがく
垂直;しゅちょく、수직
数年;すうねん
姿;すがた
救う;すくう、구하다
優れる;すぐれる、뛰어나다
隅;すみ、구석, 모퉁이
鋭い;するどい、날카롭다, 예리하다
清潔;せいけつ、청결
政治;せいじ
晴天;せいてん、맑은 하늘
政党;せいとう、정당
政府;せいふ
背負う;せおう、떠맡다, 짊어지다
責任;せきにん
接触;せっしょく、접촉
設備;せつび
責める;せめる、책망하다
戦争;せんそう
洗濯;せんたく、세탁, 빨래
全般;ぜんぱん
総額;そうがく、총액
相互;そうご、상호
操作;そうさ
掃除;そうじ
想像;そうぞう
装置;そうち、장치
育つ;そだつ、자라다
率直;そっちょく、솔직함
備える;そなえる、갖추다, 대비하다
損害;そんがい
尊重;そんちょう、존중
損得;そんとく、손익
退院;たいいん
大臣;だいじん
倒れる;たおれる
耕す;たがやす、갈다, 경작하다
蓄える;たくわえる
確かな;たしかな
確かめる;たしかめる、확인하다
戦い;たたかい
畳む;たたむ、(이불, 옷) 개다
他人;たにん
種;たね、씨, 씨앗
束;たば、다발, 묶음
単純;たんじゅん
地域;ちいき
知恵;ちえ、지혜
地球;ちきゅう
遅刻;ちこく
知識;ちしき
駐車;ちゅうしゃ
抽象的;ちゅうしょうてき、추상적
抽選;ちゅうせん、추첨
～兆;ちょう、~조
調査;ちょうさ
頂上;ちょうじょう、정상
著者;ちょしゃ、저자
調節;ちょうせつ
貯蔵;ちょぞう、저장
治療;ちりょう
通行;つうこう、통행
都合;つごう
次々と;つぎつぎと、잇달아
続く;つづく
潰れる;つぶれる、망하다
積む;つむ、쌓다
強火;つよび、센 불
停車;ていしゃ、정차
適切な;てきせつな、적절한
鉄橋;てっきょう、철교
展開;てんかい、전개
逃走;とうそう、도주
逃亡;とうぼう、도망
登山;とざん
突然;とつぜん、돌연, 갑자기
届く;とどく、도착하다, 닿다
整える;ととのえる、정돈하다, 준비하다
隣;となり
乏しい;とぼしい、부족하다, 모자르다
伴う;ともなう、동반하다, 따르다
努力;どりょく、노력
泥;どろ、진흙
眺める;ながめる、바라보다
和やか;なごやか、온화함
悩む;なやむ
並ぶ;ならぶ、늘어서다, 줄을 서다
慣れる;なれる
苦い;にがい
握る;にぎる、쥐다, 잡다
憎い;にくい、밉다
憎む;にくむ、미워하다, 증오하다
日常;にちじょう
日課;にっか
似る;にる
抜く;ぬく、빼다
盗む;ぬすむ、훔치다
塗る;ぬる、바르다, 칠하다
値段;ねだん
熱演;ねつえん、열연
熱帯;ねったい、열대
農業;のうぎょう
農産物;のうさんぶつ
残る;のこる
除く;のぞく、제거하다
述べる;のべる、서술하다, 말하다
昇る;のぼる、오르다, (해, 달이) 뜨다
乗り越える;のりこえる、뛰어넘다, 극복하다
～倍;～ばい
配布;はいふ
爆発;ばくはつ、폭발
箱;はこ
運び去る;はこびさる、옮기다
恥;はじ、부끄러움, 수치
発射;はっしゃ、발사
離れる;はなれる
破片;はへん、파편
針;はり、바늘, 못
張り切る;はりきる、기운이 넘치다, 긴장하다
判断;はんだん
販売;はんばい
被害;ひがい、피해
比較的;ひかくてき
悲劇;ひげき、비극
筆跡;ひっせき、필적
等しい;ひとしい、동등하다
批評;ひひょう、비평
皮膚;ひふ
～秒;～びょう
評価;ひょうか
標識;ひょうしき、표지, 표식
平等;びょうどう、평등
評判;ひょうばん、평판
封筒;ふうとう、봉투
深い;ふかい
不規則;ふきそく、불규칙
普及;ふきゅう、보급
服装;ふくそう、복장
含める;ふくめる、포함하다
舞台;ぶたい、무대
負担;ふたん
触れる;ふれる、닿다, 접하다
平均;へいきん
減る;へる、줄다
返却;へんきゃく、반납
貿易;ぼうえき
防災;ぼうさい、방재
放送局;ほうそうきょく、방송국
法律;ほうりつ
募集;ぼしゅう、모집
掘る;ほる、파다
方針;ほうしん、방침
まとめる;(한데) 모으다
招く;まねく、부르다, 초청하다
守る;まもる
万一;まんいち
満足;まんぞく
乱れる;みだれる、흐트러지다
密接;みっせつ、밀접
密閉;みっぺい、밀폐
認める;みとめる、인정하다
実り;みのり、결실, 수확
迎える;むかえる
結ぶ;むすぶ、묶다, 관계를 맺다
夢中;むちゅう、열중함
恵まれる;めぐまれる、혜택받다, 풍족하다
珍しい;めずらしい
燃える;もえる
求める;もとめる、구하다, 청하다
物語;ものがたり、이야기
模範;もはん、모범
訳す;やくす、번역하다
約束;やくそく
役目;やくめ、임무
焼ける;やける、(불)타다, 구워지다
優しい;やさしい
養る;やしなう、(가족, 부모) 부양하다
家賃;やちん
雇う;やとう
敗れる;やぶれる、지다, 패배하다
破る;やぶる、찢다, 깨다, (약속을) 어기다
優勝;ゆうしょう、우승
豊かな;ゆたかな、풍요로운
油断;ゆうだん、방심함
溶岩;ようがん、용암
要求;ようきゅう、요구
容姿;ようし、용모
幼稚;ようち、유치, 나이가 어림
夜中;よなか
世の中;よのなか、세상
予報;よほう
四割引き;よんわりびき
略する;りゃくする
留学生;りゅうがくせい
流行;りゅうこう
両替;りょうがえ、환전
冷凍;れいとう、냉동
例外;れいがい
冷蔵庫;れいぞうこ
歴史;れきし
列島;れっとう、열도
恋愛;れんあい、연애
連続;れんぞく
連絡;れんらく
労働;ろうどう
論文;ろんぶん
渡す;わたす
割合;わりあい
