悪天候;あくてんこう、악천후
浅い;あさい、얉다
鮮やか;あざやか、선명함
預ける;あずける、맡기다
辺り;あたり、주변, 주위
扱う;あつかう、다루다
厚かましい;あつかましい、뻔뻔하다
暴れる;あばれる、날뛰다
荒い;あらい、거칠다
争う;あらそう、다투다
荒れる;あれる、거칠다
泡;あわ、거품
安定;あんてい、안정
胃;い、위
委員会;いいんかい、위원회
怒り;いかり、분노
勢い;いきおい、기세, 힘
勇ましい;いさましい、용감하다
泉;いずみ、샘
至る;いたる、～에 이르다
労わる;いたわる、(약자) 돌봐주다, (노고) 위로하다
位置;いち、위치
依頼;いらい、의뢰
岩;いわ、바위
祝い;いわい、축하
薄い;うすい、얉다, 연하다, 싱겁다
疑う;うたがい、의심하다
運賃;うんちん、운임
永遠;えいえん、영원함
永久;えいきゅう、영구
絵の具;えのぐ、그림물감
演技;えんぎ、연기
援助;えんじょ、원조
追い越し;おいこし、추월
追う;おう、쫓다
負う;おう、짊어지다
横断;おうだん、횡단
補う;おぎなう、보충하다
遅れる;おくれる、늦다, 뒤지다
贈る;おくる、(선물) 보내다
訪れる;おとずれる、(장소,기회,계절) 찾아오다
劣る;おとる、뒤떨어지다
驚かせる;おどろかせる、놀래키다
お湯;おゆ、더운 물
泳ぐ;およぐ、헤엄치다
及ぶ;およぶ、미치다
温暖化;おんだんか、온난화
開演;かいえん、개연(연극,연주,연설을 시작함)
介護;かいご、간호
開講;かいこう、개강
開催;かいさい、개최
快適;かいてき、쾌적함
開封;かいふう、개봉
開幕;かいまく、개막
返す;かえす、돌려주다, 갚다
拡大;かくだい
拡張;かくちょう
肩;かた
傾く;かたむく、치우치다, 기울다
傾ける;かたむける、한쪽으로 기울이다
楽器;がっき、악기
担ぐ;かつぐ、짊어지다
壁;かべ、벽
革靴;かわぐつ、가죽구두
管;かん、대롱, 관
簡潔;かんけつ、간결함
観測;かんそく、관측
官僚;かんりょう、관료
消える;きえる、사라지다, (불이) 꺼지다
喫茶店;きっさてん、커피숍, 찻집
切符;표, 티켓
疑問;ぎもん
～限り;きり、~까지
器用;きよう、손재주 있음, 요령있음
競走;きょうそう
共同;きょうどう
恐怖;きょうふ、공포
強力;きょうりょく
巨大;きょだい
拒否する;きょひする、거부하다
距離;きょり
議論;ぎろん、논의
極めて;きわめて、매우, 상당히
区域;くいき
暮れる;くれる、저물다
詳しい;くわしい、자세하다
訓練;くんれん
景気;けいき
傾向;けいこう、경향
経済;けいざい
計算;けいさん
系統;けいとう
景色;けしき
削る;けずる
煙;けむり、연기
険しい;けわしい、험악하다
県庁;けんちょう、현청
濃い;こい
強引;ごういん、억지로 함
幸運;こううん
公演;こうえん、공연
硬貨;こうか、동전
郊外;こうがい
講師;こうし、강사
工場;こうじょう、공장
構造;こうぞう、구조
好調;こうちょう、순조로움
鉱物;こうぶつ、광물
越える;こえる、초과하다
凍る;こおる、얼다
焦げる;こげる
志す;こころざす、뜻을 두다
快い;こころよい、즐겁다
骨折;こっせつ、골절
異なる;ことなる
小麦;こむぎ、밀
転がる;ころがる、구르다, 넘어지다
根気;こんき
根拠;こんきょ、근거
混乱;こんらん
～際;～さい、~때
最高;さいこう
在籍;ざいせき、재적
最低;さいてい
才能;さいのう
財布;さいふ
採用;さいよう、채용
坂;さか
逆らう;さからう、거역하다
盛んに;さかんに、빈번하게, 열렬히
咲く;さく、피다
叫ぶ;さけぶ、외치다
支える;ささえる、떠받치다, 지탱하다
誘う;さそう、(같이 하길) 권하다
撮影;さつえい
雑誌;ざっし
参照;さんしょう
散歩;さんぽ
寺院;じいん、사원
司会;しかい、사회
四捨五入;ししゃごにゅう
沈む;しずむ、가라앉다, 지다
施設;しせつ
次第に;しだいに、점차
従う;したがう、따르다
湿度;しつど
