지적, してき;指摘
지도, しどう;指導
아동, じどう;児童
じむしょ;事務所
가리키다, しめす;示す
축축하다, しめっぽい;湿っぽい
빚, しゃっきん;借金
수확, しゅうかく;収穫
주변, しゅうへん;周辺
중량, じゅうりょう;重量
しゅくはく;宿泊
しゅじゅつ;手術
しゅしょう;首相
しゅだん;手段
しゅっせ;出世
しゅっぱんしゃ;出版社
수증기, じょうき;蒸気
じょうけん;条件
승차권, じょうしゃけん;乗車券
증상, しょうじょう;症状
상승, じょうしょう;上昇
しょうたい;招待
상징, しょうちょう;象徴
승인, しょうにん;承認
증발, じょうはつ;蒸発
소방서, しょうぼうしょ;消防署
しょうらい;将来
しょうりゃく;省略
식물, しょくぶつ;植物
소속, しょぞく;所属
여배우, じょゆう;女優
しんけん;真剣
심각, しんこく;深刻
しんしゅう;進出
しんや;深夜
삼림, しんりん;森林
물방울, すいてき;水滴
すずしい;涼しい
나아가다, すすむ;進む
추천하다, すすめる;勧める
すてき;素敵
するどい;鋭い
청구, せいきゅう;請求
정산, せいさん;精算
せいせき;成績
せいぞう;製造
적극적, せっきょくてき;積極的
접속, せつぞく;接続
절약, せつやく;節約
せまい;狭い
탓하다, せめる;責める
전액, ぜんがく;全額
せんぞ;先祖
そうか;増加
そうじんこう;総人口
そうぞう;想像
장치, そうち;装置
즉각, そくざに;即座に
단체에 속하다, ぞくする;属する
밑바닥, そこ;底
조직, そしき;組織
そふ;祖父
そん;損
そんけい;尊敬
대륙, たいりく;大陸
끊임없이, た;絶えす
たたみ;畳
떠나다, たちさる;立ち去る
이르다, たっする;達する
믿음직스럽다, たのもしい;頼もしい
묶다, 통솔하다, たばねる;束ねる
의지하다, たよる;頼る
지대, ちたい;地帯
줄어들다, ちぢむ;縮む
ちょうか;超過
ちょきん;貯金
정점, ちょうてん;頂点
근무하다, つとめる;勤める
노력하다, つとめる;務める
つねに;常に
저항, ていこう;抵抗
전달, でんたつ;伝達
でんとう;伝統
답안, とうあん;答案
투자, とうし;投資
도난, とうなん;盗難
どうろ;道路
토론, とうろん;討論
풀다, とく;解く
정돈되다, 갖추어지다ととのう;整う
날다, とぶ;飛ぶ
다루다, 빼앗다, とりあげる;取りあげる
흐르다, ながる;流れる
파도, なみ;波
にげる;逃げる
맡다, になう;担う
にんむ;任務
회색, 침울함, はいいろ;灰色
무덤, はか;墓
격하다, はげしい;激しい
박수, はくしゅ;拍手
완수하다, はたす;果たす
발간, はっかん;発刊
생략하다, はぶく;省く
비판, ひはん;批判
짓궂음, ひにく;皮肉
줍다, ひろう;拾う
넒어지다, ひろがる;広がる
ふうふ;夫婦
불황, ふきょう;不況
부근, ふきん;付近
불다, ふく;吹く
복잡함, ふくざつ;複雑
포함하다, ふく;含む
복리, ふくり;福利
방지하다, ふせぐ;防ぐ
물가, ぶっか;物価
물질, ぶっしつ;物質
부품, ぶひん;部品
내리다, ふる;降る
줄다, へる;減る
모자, ぼうし;帽子
보석, ほうせき;宝石
방범, ぼうはん;防犯
법률, ほうりつ;法律
말다, 감다, まく;巻く
섞이다, まじる;混じる
늘다, ます;増す
축제, まつり;祭り
초대하다, 부르다, まねく;招く
헤매다, 망설이다, まよう;迷う
만년필, まんねんひつ;万年筆
닦다, みが;磨く
호수, みずうみ;湖
흐트러지다, みだれる;乱れる
인도하다, 이끌다, みちびく;導く
차다, みちる;満ちる
못 보다, 놓치다, みのがす;見逃す
떼, 무리, むれ;群れ
명령하다, めいじる;命じる
혜택받다, 풍족하다, めずらしい;珍しい
사용하다, もちいる;用いる
모임, 행사, もよおし;催し
역할, 임무, やくわり;役割
사임하다, 그만두다, やめる;辞める
やわらかい;柔らかい
풍요로움, ゆたか;豊か
ゆだん;油断
수입, ゆにゅう;輸入
ゆび;指
ようい;容易
명랑함, ようき;陽気
유아, ようじ;幼児
난폭, らんぼう;乱暴
생략하다, リゃくす;略す
영수증, りょうしゅうしょ;領収書
원형, 고리, りん;輪
예의, れいぎ;礼儀
섭씨0도, れいど;零度
헤어지다, わかれる;別れる
끓다, 뜨거워지다, 沸く;わく
깨지다, われる;割れる
