잇다르다, 연달다 あいつぐ;相次ぐ
공교롭게도;あいにく
애매함, あいまい;愛味
분명하게, 명백하게, あきらかに;明らかに
하품;あくび
발밑, あしもと;足元
맡기다;あずける
당연하다;あたりまえだ
미리, 사전에;あらかじめ;予め
분주하다, 어수선하다;あわただしい
당황하지말고, あわてずに;慌てずに
손쉬움, 안이함, あんい;安易
의외, 예상외, あんがい;案外
온화하고 따뜻함, おんこう;温厚
육아, いくじ;育児
뜻밖에, いがい;意外に
이행, いこう;移行
유지, いじ;維持
위대함, いだい;偉大
(마음에) 품다, いだく;抱く
~에 이르러서, いたって;至って
단숨에, いっきに;一気に
일제히;いっせいに
어느새;いつのまにか
의도, いと;意図
위도, いど;緯度
말뚝잠(앉아서 졺);いねむり
의욕, いよく;意欲
말하자면, 소위;いわば
소위, 이른바;いわゆる
은퇴, いんたい;引退
인용, いんよう;引用
うしなう;失う
부정하다, うちけす;打ち消す
무심코, 깜빡;うっかり
어렴풋이, 살짝;うっすら
꾸벅꾸벅;うとうと
수긍하다, 고개를 끄덕이다;うなずく
(흙에) 묻히다, うまる;埋まる
어슬렁어슬렁;うろうろ
소문;うわさ
영향, えいきょう;影響
안다, 떠안다, かかえる;抱える
빠뜨리지 않다, かかさない;欠かさない
빛나다, 눈부시다, かがやしい;輝かしい
관계하다, かかり合う
연설, えんぜつ;演説
한해서, かぎって;限って
응답, おうとう;応答
각오, かくご;覚悟
신경쓰지마세요;おかまいなく
격차, かくさ;格差
불쌍하게도, おきのどくに;お気の毒に
납부하다, 납입하다, おさめる;納める
각별, かくべつ;格別
확보, かくほ;確保
온화하다, おだやかだ;穏やかだ
나쁜 상황에 빠지다, うちこむ;落ち込む
낙담하다;がつかりする
활기, かっき;活気
쇠퇴하다, おとろえる;衰える
각자, 각각;おのおの
치우치다, かたよる;偏る
かっき;活気
모습, 모양, かっこう;格好
かっぱつ;活発
과감히, おもいきって;思い切って
활약, かつやく;活躍
답답하다, 울적하다, おもくるしい;重苦しい
가정, かてい;仮定
반드시 ~라고는;かならずしも
온난, おんだん;温暖
がいけん;外見
(식물) 말라죽다, かれる;枯れる
해산, かいさん;解散
さかるがる;軽々と
かいしゃく;解釈
かいしょう;解消
かいせい;改正
쾌청하다, かいせいだ;快晴だ
かいぜん;改善
완고하게, かんごに;頑固に
발이 넓다, 인맥이 넓다, かおがひろい;顔が広い
속이빔;から
かんいしせつ;簡易施設
건조하다, かんそう;乾燥する
간략한, かんゃく;簡略な
성미가 느긋하다, きがながい;気が長い
알아듣다, ききとれる;聞き取れる
규제, きせい;規制
규칙, きそく;規則
꽉 끼다;きつい
계기;きっかけ
가득;ぎっしり
단호히;きっぱり
きにゅう;記入
~기운, ~경향;~ぎみ
휴가, きゅうか;休暇
공통, きょうつう;共通
반짝반짝, きらきら
다 떨어지다;きれる
단락, くぎり;区切り
착 들러붙다, くっつく
장황하다, 되풀이해 귀찮다;くどい
학수고대하다;首を長くする
후회하다, 애석하게 여기다, くやむ;悔やむ
흔들흔들;ぐらぐら
빙빙;ぐるぐる
고생, くろう;苦労
상세하다, 자세하다;くわしい
쭉쭉;ぐんぐん
계기, けいき;契機
계열, けいれつ;系列
삭감하다, 깎다;けずる
결론, けつろん;結論
험준하다;険しい
한계, げんかい;限界
けんさ;検査
げんじゅうに;厳重に
현상, げんしょう;現象
예측, 짐작, けんとう;見当
권리, けんり;権利
감량, げんりょう;減量
아주 좋은, こうちょう;好調
효용, こうよう;効用
효력, こうりょく;効力
사양않고;ご遠慮なく
호흡, こきゅう;呼吸
극복, こくふく;克服
어지러이 뒤섞임, 너저분한 모양;ごちゃごちゃ
격조, 무소식;ごぶさた
깨지다, 부서지다, こわれる;壊れる
재배, さいばい;栽培
거역하다;さからう
곳곳마다, さきざきで;先々で
변변찮다, 자그마하다;ささやかだ
지장이 있다, さしつかえる;差し支える
그건 그렇고;さて
방해하다;さまたげる
잠이 깨다, 눈이 뜨이다, さめる;覚める
식다;さめる
시간을 죽이다;時間をつぶす
바로, 곧;じきに
실험, じっけん;実験
깔다;しく
사퇴, じたい;辞退
점차;しだいに
따라서;したがって
실현, じつげん;実現
끈질기다, 집요하다;しつこい
검소한, しっそな;質素な
가만히 있다;じっとする
(피부)촉촉하다;しっとりしている
지정, してい;指定
마비되다, 저리다;しびれる
수수함, じみ;地味
절실히, 곰곰히;しみじみ
마감;しめきり
됐다, 해냈다;しめた
지역, 고장, じもと;地元
시야, しや;視野
방해, 거추장스러움, じゃま;邪魔
수확, しゅうかく;収穫
습관을 들이다, しゅうかんをつける;習慣をつける
집중, しゅうちゅう;集中
유연, じゅうなん;柔軟
차례대로, じゅんじゃん;順々に
상승, じょうしょう;上昇
서서히, じょじょに;徐々に
진단, しんだん;診断
신중하다, しんちょう;慎重だ
거침없이, 술술;すいすい
뻔뻔스럽다;ずうずうしい;図々しい
틈, 방심;すき
산뜻함;すっきり
즉;すなわち
술술;すらすら
날카롭다, 예리하다, するどい;鋭い
사치스런, ぜいたくな;賛沢な
적극적, せっきょくてき;積極的
접하다, せつする;接する
접속, せつぞく;接続
다가오다, せまる;迫る
전념, せんねん;専念
