就職;しゅうしょく、취직
床;ゆか、바닥
充電;じゅうでん、충전
免許;めんきょ
建設;けんせつ
面倒;めんどう、귀찮음
疑い;うたがい、가능성
誘い;さそい、권유
勤める;つとめる、근무하다, 종사하다
だいぶ、だいぶん;꽤, 많이
たいてい;대부분, 대개
まれに;어쩌다 드물게
臭い;くさい
苦手な;にがてな
むっとする;화가 나다, 발끈하다
さっと;재빨리
ほっとする;안심하다
迷惑;めいわく
周囲;しゅうい
当たるらしい;あたるらしい
足す;たす、더하다
曖昧な;あいまいな、애매한(=핫키리시나이)
考え直す;かんがえなおす、생각을 바꾸다
整理する;せいりする、정리하다
整える;ととのえる、정돈하다
曲がっている;まがっている、구부러져 있다
行う;おこなう、실시하다, 행하다
避ける;さける、피하다
移る;うつる、옮기다
ゆずる;양보하다
すれ違う;すれちがう、엇갈리다
～を通して;～をつうして、~을 통해
～にすぎない;~에 지나지 않다
～べきだ;~해야 한다
～に関して;~에 관해서
～に反して;～にはんして、~와 반대로
～によれば;~에 따르면
～によって;~로
～にわたって;~에 걸쳐
～際に;～さいに、~때, ~일때는
謝る;あやまる、사과하다
～てしょうがない;~해서 죽겠다
遊び;あそび、놀이
いくら拭いても;아무리 닦아도
初級;しょきゅう、초급
教科書;きょうかしょ、교과서
針;はり、바늘
直径;ちょっけい、지름
表;おもて、겉
裏;うら、안
傷;きず、상처
お譲ります;おゆずります、양도합니다
なんとなく;왠지 모르게, 어쩐지
共働き;ともばたらき、맞벌이
きっかけ;계기
日頃から;평소에
空港;くうこう、공항
傷をつけてします;きず、상처가 나버리다
探す;さがす
貸しに行く;かしにいく、빌려주러 가다
借りにいく;かりにいく、빌리러 가다
返す;かえす、갚다
公共;こうきょう、공공
地域;ちいき、지역
移動;いどう、이동
受信;じゅしん、진료
被害;ひがい、피해
当てはまらない;あてはまらない、들어맞지 않는다
警察;けいさつ
届けてもらう;とどけてもらう、(요리등을) 전해 받다
日々;ひび、매일
配達する;はいたつする、배달하다
今や;이제는
若者;わかもの、젊은 사람
塾;じゅく、학원
スタップ;스태프
施設;しせつ、시설
体育館;たいいくかん、체육관
申し出る;もうしでる、신청하다, 스스로 말하다
手続き;てつづき、수속
お受け取り下さい;おうけとりください、수령해주세요
取っ手;とって、손잡이
他社;たしゃ
司会をつとめる;しかいをつとめる、사회를 보다
地味な;じみな、수수한, 검소한
上品な;じょうひんな、고상한, 품위가 있는
花柄;はながら、꽃무늬
甘える;あまえる、응석부리다
疑問;ぎもん、의문
悩み;なやみ、고민
パターン;패턴
上達;じょうたつ、잘하다
前半;ぜんはん、전반
後半;こうはん、후반
督促状;とくそくじょう、독촉장
きさんと;제대로
