（時間に）遅れます ;(시간에) 늦습니다
（時間に）間に合います; (시간에) 맞출 수 있습니다
都合がいい;(시간적으로) 형편이 좋다
都合が悪い;(시간적으로) 형편이 나쁘다
ほかの;그 밖의
不思議な;묘한, 이상한
まじめな;착실한
ねっしん;열심인
晴れます;맑습니다
曇ります;흐립니다
細い;가늘은
太い;굵은
苦い;(맛이) 쓴
珍しい;드문, 희귀한
硬い;딱딱한, 단단한(かたい)
軟らかい;부드러운(やわらかい)
電子～ 전자~;でんし～
携?～ 휴대~;けいたい～
?別な 특별한;どくべつな
大勢の～ 많은, 여럿의~(사람);おおぜいの～
安全な 안전한;あんぜんな
～中 전~, 온~;～じゅう
豪華な 호화스러운;ごうかな
似て　います 비슷합니다;にて　います
 얌전한;おとなしい
 성실한;まじめな
複?な 복잡한;ふくざつな
邪魔な 방해가 되는;じゃまな
汚い 더러운;きたない
悲しい 슬픈;かなしい
危?な 위험한;きけんな
必要な 필요한;ひつような
離れた 떨어져있는;はなれた
?っ白な 새하얀;まっしろな
厚い 두꺼운;あつい
薄い 얇은;うすい
 어느~, 어떤~;ある～
丈夫な 튼튼한, 단단한;じょうぶな
?な 이상한, 묘한;へんな
幸せあ 행복한;しあわせな
 맛있는, 잘하는;うまい
 맛없는;まずい
 시시한, 재미없는;つまらない
適?な 적당한;てきとうな
安全な 안전한;あんぜんな
丁寧な 정중한;ていねいな
細かい 작은;こまかい
濃い 짙은, 진한;こい
薄い 연한, 흐린;うすい
?起が　?い 조짐이 나쁜, 불길한;えんぎが　わるい
 심한;ひどい
怖い 무서운;こわい
嫌な 싫은;いやな
?しい 엄한;きびしい
美しい 아름다운;うつくしい
多くの 많은;おおくの
 ~함(い형 형용사의 명사화);い빼고+さ
