?はがき 그림엽서;えはがき
 드라이버;ドライバ?
 손수건;ハンカチ
靴下 양말;くつした
手袋 장갑;てぶくろ
指輪 반지;ゆびわ
 백, 가방;バッグ
祖父 자기 할아버지;そふ
祖母 자기 할머니;そぼ
孫 손자;まご
 자기 삼촌;おじ
 남의 삼촌;おじさん
 자기 숙모, 백모;おば
 남의 숙모, 백모;おばさん
昔話 옛날이야기;むかしばなし
 거북;かめ
お城 성;(お)しろ
お?? 공주님;おひめさま
陸 육지, 땅;りく
煙 연기;けむり
中身 내용;なかみ
弁護士 변호사;べんごし
音?家 음악가;おんがくか
?育 교육;きょういく
?史 역사;れきし
文化 문화;ぶんか
社? 사회;しゃかい
法律 법률;ほうりつ
?? 전쟁;せんそう
平和 평화;へいわ
目的 목적;もくてき
安全 안전;あんぜん
論文 논문;ろんぶん
?係 관계;かんけい
 믹서;ミキサ?
 주전자;やかん
栓?き 병따개, 오프너;せんぬき
缶切り 깡통따개;かんきり
缶詰 통조림;かんづめ
 보자기;ふろしき
 주판;そろばん
??計 체온계;たいおんけい
材料 재료;ざいりょう
石 돌;いし
 피라미드;ピラミッド
 데이터, 자료;デ?タ
 파일;ファイル
?連 유엔;こくれん
 대부금, 융자금;ロ?ン
 세트;セット
 나머지;あと
 컵라면;カップラ?メン
 인스턴트라면;インスタントラ?メン
 냄비;なべ
 사발;どんぶり
食品 식품;しょくひん
調査 조사;ちょうさ
 컵;カップ
 가솔린;ガソリン
火 불;ひ
暖房 난방;だんぼう
冷房 냉방;れいぼう
 센스;センス
?員 회원;かいいん
年? 연령;ねんれい
?入 수입;しゅうにゅう
 장미;ばら
 드라이브;ドライブ
空? 공기;くうき
? 눈물;なみだ
?を　流す * 눈물을 흘리다;なみだを　ながす
和食 일식;わしょく
洋食 양식;ようしょく
 바찬;おかず
量 양;りょう
～倍 ~배(x);～ばい
半分 절반;はんぶん
 싱글;シングル
 트윈;ツイン
 장롱, 옷장;たんす
洗濯物 빨래;せんたくもの
 머리감기, 샴푸;シャンプ?
 쇼트커트;ショ?ト
順序 순서;じゅんじょ
表現 표현;ひょうげん
 이것들;これら
保?書 보증서;ほしょうしょ
領?書 영수증;りょうしゅうしょ
贈り物 선물;おくりもの
間違い電話 잘못 걸린 전화;まさがいでんわ
 캠프;キャンプ
係 담당(자);かかり
中止 중지;ちゅうし
点 점수;てん
 레버;レバ?
 ~엔짜리 지폐;～えんさつ
係員 담당자;かかりいん
 코스;コ?ス
 스타트, 출발점;スタ?ト
～位 ~위;～い
?み 고민;なやみ
目?まし(時計) 자명종;めざまし(どけい)
回答 회답;かいとう
宅配便 택배편;たくはいびん
原因 원인;げんいん
注射 주사;ちゅうしゃ
食欲 식욕;しょくよく
 팸플릿;パンフレット
 스테레오;ステレオ
 가스 서비스센터;ガスサ?ビスセンタ?
 가스레인지;ガスレンジ
具合 상태;ぐあい
知識 지식;ちしき
?庫 보고;ほうこ
 시스템;システム
 키워드;キ?ワ?ド
一部分 일부분;いちぶぶん
天?予報 일기예보;てんきよほう
?表 발표;はっぴょう
?? 실험;じっけん
人口 인구;じんこう
 냄새;におい
科? 과학;かがく
?? 의학;いがく
文? 문학;ぶんがく
 순찰차;パトカ?
救急車 구급차;きゅうきゅうしゃ
?成 찬성;さんせい
反? 반대;はんたい
?人 연인, 애인;こいびと
相手 상대;あいて
平均?命 평균 수명;へいきんじゅみょう
博士 박사;はかせ
? 뇌;のう
 호르몬;ホルモン
化粧品 화장품;けしょうひん
調べ 조사;しらべ
化粧 화장;けしょう
塾 학원;じゅく
 스케쥴;スケジュ?ル
生徒 학생;せいと
者 사람(자기네 그룹사람);もの
入館 입국관리국;にゅうかん
再入?ビザ 재입국비자;さいにゅうこくビザ
?業 영업;えいぎょう
 스피드, 속도;スピ?ド
 서커스;サ?カス
芸 기예, 재주;げい
姿 모습;すがた
心 마음;こころ
灰皿 재떨이;はいざら
旅館 여관;りょかん
?場 회장, 행사장;かいじょう
バス停 버스정류장;バスてい
貿易 무역;ぼうえき
 ~학년 ~반;～年～組
講師 강사;こうし
作品 작품;さくひん
作家 작가;さっか
長男 장남;ちょうなん
障害 장애;しょうがい
作曲 작곡;さっきょく
活動 활동;かつどう
私 저(겸양어);わたくし
 가이드, 안내인;ガイド
お宅 댁, 자택;おたく
郊外 교외;こうがい
 앨범;アルバム
賞金 상금;しょうきん
自然 자연;しぜん
 기린;きりん
象 코끼리;ぞう
(お)? 사례, 감사;(お)れい
?啓 배계(편지머리말);はいけい
敬具 경구(편지끝인사말);けいぐ
(お)城 성(건물);(お)しろ
