 찾습니다;さがします   
 합니다;やります   
?賀します (파티에) 참가합니다;（パ?ティ?に）さんかします   
申し?みます 신청합니다;もうしこみます   
（荷物が）片づきます (짐이) 정리됩니다;（にもつか）かたづきます   
（ごみお）出します (쓰레기를) 내놓습니다;（ごみお）だします   
（ごみが）燃えます (쓰레기가) 탑니다;（ごみが）もえます   
飼います 키웁니다, 기릅니다;かいます   
建てます 세웁니다, 짓습니다;たてます   
（道を）走ります (길을) 달립니다;（みちを）はしります   
（休みを）取ります (휴가를) 취합니다;（やすみを）とります   
（山が）見えます (산이) 보입니다;（やまが）みえます   
（音が）聞こえます (소리가) 들립니다;（おとが）きこえます   
（空港が）できます (공항이) 생깁니다;（くうこうが）できます   
（?室を）開きます (교실을) 엽니다;（きょうしつを）ひらきます   
夢を　見ます 꿈을 꿉니다;うめを　みます   
付けます 붙입니다, 답니다;つけます   
飛びます (높은 곳을) 납니다;とびます   
（パンが）?れます (빵이) 팔립니다;（バンが）うれます   
踊ります 춤춥니다;おどります   
 씹습니다, 뭅니다;かみます   
選びます 고릅니다;えらびます   
（大?に）通います (대학에) 다닙니다;（だいがくに）かよいます   
ちょっと　お願いが　あるんですが 좀 부탁이 있는데요;ちょっと　おねがいが　あるんですが   
 이야기합니다, 잡담합니다;おしゃべりします   
（ドアが）開きます (문이) 열립니다;（ドアが）あきます   
（ドアが）閉まります (문이) 닫힙니다;（ドアが）しまります   
（電?が）つきます (전기가) 켜집니다;（でんきが）つきます   
（電?が）消えます (전기가) 꺼집니다;（でんきが）きえます   
（道が）?みます (길이) 붐빕니다;（みちが）こみます   
（道が）すきます (길이) 비어 있습니다;（みちが）すきます   
（いすが）?れます (의자가) 부서집니다;（いすが）こわれます   
（コップが）割れます (컵이) 깨집니다;（コップが）われます   
（木が）折れます (나무가) 부러집니다;（きが）おれます   
（紙が）破れます (종이가) 찢어집니다;（かみが）やぶれます   
（服が）汚れます (옷이) 더러워집니다;（ふくが）よごれます   
（ポケットが）付きます (주머니가) 달립니다, 붙습니다;（ポケットが）つきます   
（ボタンが）外れます (단추가) 떨어집니다;（ボタンが）はずれます   
（エレベ?タ?が）止まります (엘리베이터가) 멈춥니다;（エレベ?タ?が）とまります   
 실수합니다;まちがえます   
落とします 분실합니다, 떨어뜨립니다;おとします   
（かぎが）掛かります (자물쇠가) 잠깁니다;（かぎが）かかります   
?えて　いません 기억하지 못합니다;おぼえて　いません   
倒れます 쓰러집니다;たおれます   
指します 가리킵니다;さします   
 붙입니다;はります   
掛けます 겁니다;かけます   
飾ります 장식합니다;かざります   
?べます 늘어놓습니다;ならべます   
植えます 심습니다;うえます   
?します 되돌려 놓습니다;もどします   
 정리합니다;まとめます   
片づけます 치웁니다;かたづけます   
 간수합니다, 치웁니다;しまいます   
決めます 정합니다;きめます   
知らせます 알립니다;しらせます   
相談します 의논합니다;そうだんします   
予習します 예습합니다;よしゅうします   
復習します 복습합니다;ふくしゅうします   
 그대로 둡니다;そのままに　します   
ご苦?? 수고했어요(윗사람이 아랫사람에게);ごくろうさま   
 뭔가 희망이 있습니까?;なにか　ごきぼうが　ありますか   
（式が）始まります (식이) 시작됩니다;（しきが）はじまります   
?けます 계속합니다;つづけます   
見つけます 찾습니다;みつけます   
受けます 시험을 치릅니다, 봅니다;うけます   
（大?に）入?します (대학에) 입학합니다;（だいがくに）にゅうがくします   
（大?に）卒業します (대학을) 졸업합니다;（だいがくに）そつぎょうします   
（?議に）出席します (회의에) 출석합니다;（かいぎに）しゅっせきします   
