誘います 권유합니다;さそいます   
起こします (잠을) 깨웁니다;おこします   
招待します 초대합니다;しょうたいします   
?みます 부탁합니다;たのみます   
注意します 주의합니다;ちゅういします   
 훔칩니다, 빼앗습니다;とります   
踏みます 밟습니다;ふみます   
?します 부숩니다;こわします   
汚します 더럽힙니다;よごします   
行います 엽니다, 실시합니다;おこないます   
輸出します 수출합니다;ゆしゅつします   
輸入します 수입합니다;ゆにゅうします   
??します 번역합니다;ほんやくします   
?明します 발명합니다;はつめいします   
?見します 발견합니다;はっけんします   
設計します 설계합니다;せっけいします   
埋め立てます 매립합니다;うめたてます   
彫ります 조각합니다, 새깁니다;ほります   
一臂も　いません 한 마리도 없습니다;いっぴも　いません   
育てます 키웁니다, 기릅니다;そだてます   
運びます 나릅니다, 운반합니다;はこびます   
亡くなります 돌아가십니다(시니마스의 완곡적표현);なくなります   
入院します 입원합니다;にゅういんします   
退院します 퇴원합니다;たいいんします   
（電源を）入れます (전원을) 켭니다;（でんげんを）いれます   
（電源を）切ります (전원을) 끕니다;（でんげんを）きります   
（かぎを）掛けます (자물쇠를) 잠급니다;（かぎを）かけます   
 앗, 큰일났다;あ、いけない   
整理します 정리합니다;せいりします   
（はんこを）押します (도장을) 찍습니다;（はんこを）おします   
時間が　たちます (시간이) 지납니다;じかんが　たちます   
 싸웁니다;けんかします   
世話を　します 보살핍니다, 돌보아줍니다;せわを　します   
目が　?めます 잠이 깹니다;めが　さめます   
眠ります 잡니다;ねむります   
 * 가능동사1;이 → 에   
 쓸 수 있습니다;かけます、かける   
 살 수 있습니다;かえます、かえる   
聞こえます 들립니다;きこえます   
聞けます 들을 수 있습니다;きけます   
（日本湖を）話せます (일본어를) 말할 줄 압니다;（日本湖を）はなせます   
 (병원에) 갈 수 있습니까?;（病院へ）いけますか？   
（～に）?えませんでした (~를) 못 만났습니다;（～に）あえませんでした   
?めます 읽을 수 있습니다;よめます   
（ドルが）換えられます 달러(도루)를 환전할 수 있습니다;（ドルが）かえられます   
 끌 수 있습니다;ひけます   
 끝마칠수 있습니다;およげます   
 놀 수 있습니다;あそべます   
 달릴 수 있습니다;はしれます   
 노래할 수 있습니다;うたえます   
 기다릴 수 있습니다;もてます   
 (젓가락을) 사용할 수 있습니다;(はしが）つかえます   
 (기모노를) 입을 수 있습니다;(きものが）きられます   
 30분에 갈 수 있습니까?;３０ぷんで　行けますか？   
 3만원에 살 수 있습니까?;3万円で　買えますか？   
 * 가능동사2;에 → (에)라레   
見えます 올 수 있습니다(약간 예외);こられます、こられる   
見られます 먹을 수 있습니다;たべられます、たべられる   
 보입니다;みえます   
 볼 수 있습니다;みられます   
 냅니다;たてます   
 낼 수 있습니다;たてられます   
 기억합니다;おぼえます   
 기억할 수 있습니다;おぼえられます   
 내립니다;おります   
 내릴 수 있습니다;おりられます   
 * ~해버렸습니다(당황, 완료강조);～て　しまいました   
 * ~되어 있습니다;~て　あります   
 놓여져 있습니다;おいて　あります   
 쓰여져 있습니다;かいて　あります   
 사 두었습니다;かって　あります   
 예약해 두었습니다;よやくして　あります   
 * ~해 둡니다;～て　おきます   
 (표를) 사둡니다;（きっぷを）　かって　おきます   
 무엇을 하면 됩니까?;何を　して　おいたら　いいですか   
 읽어 두십시오;よんで　おいて　ください   
 제자리에 되돌려 놓아주세요;もとの　ところに　もどしておいて（もどしといて）　ください   
 의자는 이대로 놓아 두십시오;いすは　この　ままに　しておいて（しといて）　ください   
 거기에 놓아두십시오;そこに　おいておいて（おいといて）　ください   
 * ~하자1;ます형 + お열 + う   
 좀 쉬지 않을래?;ちょっと　やすまない？   
 쉬자;やすもう   
 좀 쉴까?;やすもうか   
 도와줄까?;てつだおうか   
 걷습니다;あるきます   
 걷자;あるこう   
 바쁩니다;いそぎます   
 바쁘자;いそごう   
 자자;やすもう   
 놀자;あそばう   
 타자;のろう   
 기다리자;まとう   
 사자;かおう   
 낫습니다;なおします   
 낫자;なおそう   
 쇼핑가자;かいものに　いこう   
 * ~하자2;ます형 + よう   
 바꿉니다;かえます、かえる   
 바꾸자;かえよう   
 기억하자;おぼえよう   
 보자;みよう   
 ★보자;～して　みよう   
 * 하자3;しよう   
 (공원을) 산책하자;（こえんを）　さんぼしよう   
 참석하자;しゅっせきしよう   
 * 오자4;こよう   
 * ~할 생각입니다1;의지형+と　思って　います、의지형+と　思います   
 (바다에) 갈 생각입니다;（海に）行こうと　思って　います   
 일할 생각입니다;はたらこうと　思って　います   
 찾을 생각입니다;見つけようと　思って　います   
 공부할 생각입니다;べんきょうしようと　思って　います   
 * ~할 생각입니다2;사전형+つもりです、　ない형+つもりです   
 계속할 생각입니다;つづける　つもりです   
 줄일 생각입니다;さくげんする　つもりです   
 살 생각입니다;すむ　つもりです   
 연구할 생각입니다;けんきゅうする　つもりです   
 돌아가지 않을 생각입니다;かえらない　つもりです   
 (시험을) 받지 않을 생각입니다;（試?を）　うけない　つもりです   
 * ~할 예정입니다3;사전형+よていです   
 * ~의 예정입니다4;の＋よていです   
 출장갈 예정입니다;しゅっちょうする　よていです   
 일주일 정도의 예정입니다;１しゅうかんくらいの　よていです   
 (지점에) 갈 예정입니다;（してんへ）　いく　よていです   
 (11시에) 올 예정입니다;（11時に）　つく　よていです   
 (다음주는) 출장의 예정입니다;しゅっちょうの　よていです   
 * ~가 안되어 있어요;まだ　~て　いません   
 안 열렸습니다;まだ　あいて　いません   
 아직 안 썼습니다;まだ　かいて　いません .  
 제출이 안됐어요;だして　いません .  
 요약(정리)가 안됐어요;まとめて　いません .  
 * ~하는 편이 좋습니다;た형+ほうが　いいです .  
 매일 운동하는 편이 좋습니다;づんどうした　ほうが　いいです .  
 * ~하지 않는 편이 좋습니다;ない형+ほうが　いいです .  
 목욕은 안 하는 것이 좋아요;おふろに　はいらない　ほうが　いいですよ .  
 * 명령형;～ろ、～な .  
 자거라;ねろ .  
 늦지마;おくれるな .  
 우리집에 와;うちへ　こい(よ) .  
 너무 많이 마시지마;あまり　のむな(よ) .  
 도망쳐라! (급할 때);にげろ .  
 쓰지마;つかうな .  
 쉬어(구령);やすめ .  
 쉬지마(구령);やすむな .  
 지지마;まけるな .  
 멈춰(교통표지);とまれ   
 들어가지마;はいるな   
 공부하렴(여성 명령형);べんきょうしなさい   
