 상당히;すいぶん
困ったなあ 큰일났네;こまったなあ
? 옆;よこ
 ~하고 싶은데...;～んですが…
 이유를 설명하는 표현 (질문할땐 주의);～んです
 ~구다사이' 보다 정중한 표현;～いただけませんか？
～後 ~후(시간, 기간);～ご
 ~밖에(부정형과 함께 쓰임);～しか
 ~밖에(긍정적 뉘앙스);～だけ
 분명하게;はっきり
 언젠가;いつか
 이지만;なれども
自由に 자유로이;じゆうに
 잠시;しばらく
 대개;たいてい
 게다가;それに
 그래서;それで
この　? 이 부근;この　へん
～? ~부근;～へん
 이만한 정도, 이만큼;このくらい
お先に　どうぞ 먼저 하십시오;おさきに　どうぞ
～側 ~쪽;～がわ
確か 아마(애매한 기억);たしか
西 서쪽;にし
方 쪽, 방향;ほう
元の　所 원래 자리;もとの　ところ
周り 주위;まわり
?ん中 한가운데;まんなか
隅 구석;すみ
 아직;まだ
 ~정도;～ほど
 그러자;すると
～の　方 ~쪽;～の　ほう
 줄곧;ずっと
月に 한달에;つきに
自由に 자유로이;じゆうに
?く 늦게;おそく
 이렇게;こんなに
 그렇게;そんなに
 저렇게;あんなに
 어쩌면;もしかしたら
 나머지~, 앞으로~;あと～
 그거야(상대방이 말하거나 행한 것에 대해);そりゃあ
～以? ~이내;～いない
 될 수 있는 한;できるだけ
短く 짧게;みじかく
 ~(이)나;～か～
 아까;さっき
先に 먼저;さきに
 그렇다면;それなら
?週 매주;まいしゅう
?月 매월;まいつき
?年 매년;まいとし、まいねん
 겨우;やっと
 상당히;かなり
必ず 반드시;かならず
絶?に 절대로;ぜったいに
上手に 능숙하게, 잘;じょうずに
 가능한 한;できるだけ
 요즈음;このごろ
 ~씩;～ずつ
 그 편이~;その　ほうが～
 ~라든지, ~라든지;～とか、～とか
～世紀 ~세기;～せいき
遠く 멀리;とおく
 열심히;いっしょうけんめい
一生懸命 먼저;おさきに
お先に 반듯이, 깔끔히;きちんと
 ~하면서(멀티플레이);ます형+ながら
 어디에선가, 어디엔가;どこかで、どこかに
 그거 좋군요;それは　いいですね
 그거 안됐군요;それは　いけませんね
 어쩌면;もしかしたら
 ~대로;사전형(た형、の）+とおりに
 말하는대로;いう　とおりに
 본 대로;みた　とおりに
 선 대로;せんの　とおりに
 설명서대로;せつめいしょの　とおりに
 ~한 후에,;た형+あとで、～の＋あとで
 ~하도록,;사전형+ように、
 빨리 헤엄칠 수 있도록,;速く　およげるように、
 ~하지 않도록,;ない형+ように、
 잊지 않도록,;忘れないように、
 ~에 의해서(수동테);～に　よって
途中で 도중에;とちゅうで
 이제는;今では
 글쎄요(결단보류);さあ
 그런데;ところで
急に 갑자기;きゅうに
一生懸命 열심히;いっしょうけんめい
 지금도;今でも
 재작년;おととし
先日 요전날, 일전;せんじつ
?しく 재미있게, 즐겁게;たのしく
 그러자;すると
～の　代わりに ~대신에;～の　かわりに
 어디에서도, 어디에서나;どこででも
 당장에라도, 이내;今にも
 딱, 꼭;ぴったり
 게다가;そのうえ
 틀림없이, 착실히;ちゃんと
 그런데도;それでも
 이쪽;こちら
～の　所 ~가 있는 곳;～の　ところ
 꼭, 정확히;ちょうど
 방금, 지금 막 (과거형);たった今
秒 초;びょう
 어쩐지, 아무래도 (추측);どうも
 ~에 따르면 (출처);～に　よると
自由に 자유로이, 마음대로;じゆうに
～間 ~간, 동안;～かん
久しぶり 오래간만;ひさしぶり
 그때까지;それまでに
 원래;もともと
～世紀 ~세기;～せいき
 ~에 있어;～に　とって
?りに 돌아갈 때, 귀로에;かえりに
 간혹, 이따금;たまに
 전혀 (＋부정형);ちっとも
遠慮なく 사양하지 않고;えんりょなく
 그럼 (공손어);では
世界的に 세계적으로;せかいてきに
 그러면;それでは
再?週 다다음주;さらいしゅう
再?月 다다음달;さらいげつ
再?年 후년;さらいねん
半年 반년;はんとし
最初に 처음에;さいしょに
最後に 끝에;さいごに
 지금 (いま의 공손어);ただ今
 시절, 때;ころ
心から 마음으로부터, 진심으로;こころから
 * ~하므로,;사전형/い/な/명사な＋ので、
用事が　あるので、 볼일이 있으므로,;ようじが　あるので、
 일본어를 모르므로,;日本語が　わからないので、
 * ~할지(일지) 어떨지,;사전형/い/な/명사＋か　どうか、
 축하의 뜻으로;お祝いに
 기념선물로;お土産に
 * ~하기 위해서(의지O);사전형/명사の＋ために、
持つ　ために、 갖기 위해서(의지O);もつ　ために、
持てるように、 가질 수 있도록(의지X, 상태에 가까워지기O);もてるように、
 * ~하는데,;사전형の/명사＋に、
 자르는 데 씁니다;切るのに　使います
 알아보는 데 시간이 걸립니다;調べるのに　時間が　かかります
 여행하는데 편리합니다;旅行に　便利です
 * ~씩이나;～も
 2시간이나 걸렸습니다;2時間も　かかりました
 3000만엔이나 필요합니까?;3000万円も　必要なんですか
사전형/い/な/명사の＋場合は、 * (사전형)~하는 경우에는;사전형/い/な/명사の＋ばあいは、
間に　合わない　場合は、 시간을 맞출 수 없는 경우에는;まに　あわない　ばおいは、
 * ~하는데, ~인데,;사전형/い/な/명사な＋のに、
 약속을 했는데,;約束を　したのに、
 오늘은 일요일인데,;今日は　日曜日なのに、
