新聞社 신문사;しんぶんしゃ
運動? 운동회;うんどうかい
場所 장소;ばしょ
~弁 ~사투리;~べん
月、水、金 월, 수, 금;げつ、すい、きん
置き場 두는 곳;おきば
? 병;びん
缶 깡통;かん
お湯 따뜻한 물;おゆ
 가스;ガス
電子メ?ル 전자메일;でんしメ?ル
宇宙船 우주선;うちゅうせん
宇宙飛行士 우주비행사;うちゅうひこうし
 애완동물;ペット
波 파도;なみ
花火 불꽃;はなび
景色 경치;けしき
?間 낮;ひるま
 도구;どうく
自動販?機 자동판매기;じどうはんばうき
通信販? 통신판매;つうしんはんばい
 드라이클리닝;クリ?ニング
 아파트;マンション
台所 부엌;だいどころ
￣?室 ~교실;～きょうしつ
 파티룸;パ?ティ?ル?ム
日塔大工 취미로 하는 목공;にちようだいく
本棚 책꽂이;ほんだな
主人公 주인공;しゅじんこう
 형태;かたち
 로봇;ロボット
空 하늘;そら
?? 장래;しょうらい
 주머니;ポケット
習慣 습관;しゅうかん
?? 경험;けいけん
力 힘;ちから
形 형태;かたち
色 색;いろ
味 맛;あじ
 껌;ガム
品物 물건;しなもの
値段 값;ねだん
給料 봉급;きゅうりょう
番組 프로그램;ばんぐみ
小? 소설;しょうせつ
小?家 소설가;しょうせつか
歌手 가수;かしゅ
管理人 관리인;かんりにん
息子 아들;むすこ
息子さん 아드님(남의 아들);むすこさん
娘 딸;むすめ
娘さん 따님(남의 딸);むすめさん
お知らせ 알림;おしらせ
日にち 날짜;ひにち
?育館 체육관;たいいくかん
無料 무료;むりょう
（お）皿 접시;（お）さら
 밥공기;（お）ちゃわん
 컵(콧뿌);コップ
 유리(가라수);ガラス
袋 봉지;ふくろ
財布 지갑;さいふ
枝 가지;えだ
?員 역무원;えきいん
今の　電車 지금 전철;いまの　でんしゃ
 분실물;忘れ物
網棚 전철 등의 그물로 된 선반;あみだな
地震 지진;じしん
壁 벽;かべ
針 바늘;はり
お子さん 자녀분;おこさん
授業 수업;じゅぎょう
講義 강의;こうぎ
予定 예정;よてい
お知らせ 알림;おしらせ
案?書 안내서;あんないしょ
ごみ箱 휴지통, 쓰레기통;ごみばこ
人形 인형;にんぎょう
花? 꽃병;かびん
鏡 거울;かがみ
引き出し 서랍;ひきだし
玄? 현관;げんかん
廊下 복도;ろうか
壁 벽;かべ
池 연못;いけ
交番 파출소;こうばん
予定表 예정표;よていひょう
希望 희망;きぼう
 뮤지컬;ミュ?ジカル
月 달;つき
地球 지구;ちきゅう
連休 연휴;れんきゅう
作文 작문;さくぶん
展?? 전람회;てんらんかい
結婚式 결혼식;けっこんしき
（お）葬式 장례식;（お）そうしき
式 식;しき
本社 본사;ほんしゃ
支店 지점;してん
?? 교회;きょうかい
大?院 대학원;だいがくいん
動物園 동물원;どうぶつえん
?泉 온천;おんせん
お客さん 손님;おきゃくさん
 누군가;だれか
村 마을;むら
都? 도회(대도시);とかい
世界中 전세계;せかいじゅう
自然 자연;しぜん
 훌륭함;すばらしさ
太陽 태양;たいよう
星 별;ほし
月 달;つき
北 북;きた
南 남;みなみ
西 서;にし
東 동;ひがし
水道 수도;すいどう
 엔진;エンジン
今夜 오늘밤;こんや
夕方 저녁;ゆうがた
胃 위(장);い
?きすぎ 너무 일함;はたらきすぎ
星占い 점성술;ほしうらない
牡牛座 황소 자리;おうしざ
健康 건강;けんこう
?愛 연애;れんあい
?人 연인;こいびと
（お）金持ち 부자(돈많은);（お）かねもち
 자리;せき
規則 규칙;きそく
使用禁止 사용금지;しようきんし
立入禁止 출입금지;たちいりきんし
入口 입구;いりぐち
出口 출구;でぐち
非常口 비상구;ひじょうぐち
無料 무료;むりょう
本日休業 금일 휴업;ほんじつきゅうぎょう
?業中 영업중;えいぎょうちゅう
使用中 사용중;しようちゅう
駐車違反 주차위반;ちゅうしゃいはん
