警察 경찰;けいさつ
罰金 벌금;ばっきん
電報 전보;でんぽう
人? 사람들;ひとびと
急用 급한 용무;きゅうよう
電報代 전보요금;でんぽうだい
危篤 위독;キトク
重い　病? 중병, 심한 병;おもい　びょうき
明日 내일;あす
留守 부재(중);るす
留守番 집을 지킴;るすばん
（お）祝い 축하(선물);（お）いわい
悲しみ 슬픔;かなしみ
家具 가구;かぐ
 키;キ?
 안전 벨트;セ?トベルト
?明書 설명서;せつめいしょ
? 그림;ず
矢印 화살표;やじるし
? 검정색;くろ
白 흰색;しろ
赤 빨간색;あか
? 파란색;あお
紺 감색;こん
?色 노란색;きいろ
茶色 갈색;ちゃいろ
 간장;しょうゆ
 어젯밤;ゆうべ
茶道 다도;さどう
材料 재료;ざいりょう
 양파;たまねぎ
四分の1 4분의 1;よんぶんの１
調味料 조미료;ちょうみりょう
 냄비;なべ
火 불;ひ
 사발, 밥그릇;どんぶり
方 분(히또의 존경어);かた
島 섬;しま
村 마을;むら
港 항구;みなと
近所 이웃;きんじょ
屋上 옥상;おくじょう
海外 해외;かいがい
山登り 등산;やまのぼり
 하이킹;ハイキング
機? 기회;きかい
許可 허가;きょか
丸 동그라미;まる
操作 조작;そうさ
方法 방법;ほうほう
設備 설비;せつび
 커튼;カ?テン
 끈;ひも
 뚜껑, 덮개;ふた
葉 잎;は
曲 (음악의) 곡;きょく
?しみ 즐거움;たのしみ
夜行バス 야간버스;夜行バス
旅行社 여행사;りょこうしゃ
スキ?場 스키장;スキ?じょう
朱 주홍색;しゅ
 속담;ことわさ
工場 공장;こうじょう
?道 검도;けんどう
?り物 탈것;のりもの
?史 역사;れきし
汽車 기차;きしゃ
汽船 기선;きせん
宇宙 우주;うちゅう
米 쌀;こめ
? 보리;むぎ
石油 석유;せきつ
原料 원료;げんりょう
泥棒 도둑;どろぼう
警官 경찰관;けいかん
建築家 건축가;けんちくか
科?者 과학자;かがくしゃ
世界中 전세계;せかいじゅう
技術 기술;ぎじゅつ
土地 토지;とち
?音 소음;そうおん
 역이나 공항에 가기 위한 수단;アクセス
彫刻 조각;ちょうこく
仲間 동료, 한패;なかま
 쥐;ねずみ
書類 서류;しょるい
電源 전원;でんげん
回? 회람;かいらん
?究室 연구실;けんきゅうしつ
?子 쌍둥이;ふたご
姉妹 자매;しまい
5年生 5학년(학생);５ねんせい
～個 ~개;～こ
水泳 수영;すいえい
～製 ~제(제도);～せい
～冊 ~권(책);～さつ
～点 ~점;～てん
 뭔가 걱정되는 일;なにか　心配な　こと
 어디 좋은 곳;どこか　いい　ところ
地震 지진;じしん
台風 태풍;たいふう
火事 화재;かじ
事故 사고;じこ
(お)見合い 맞선;(お)みあい
電話代 전화요금;でんわだい
～代 ~대금, 요금;～だい
～?室 ~호실;～ごうしつ
 비누;せつけん
大勢 여럿, 많은 사람;おおぜい
 트럭;トラック
大人 어른;おとな
洋服 양복, 양장;ようふく
成人式 성인식;せいじんしき
宇宙 우주;うちゅう
地球 지구;ちきゅう
忘年? 망년회;ぼうねんかい
新年? 신년회;しんねんかい
二次? 이차;にじかい
大? 대회;たいかい
表 겉, 표면;おもて
裏 뒷면, 안;うら
返事 대답;へんじ
申し?み 신청;もうしこみ
 정말;ほんとう
 잘못, 실수;まちがい
傷 상처, 흠;きず
 바지;ズボン
長さ 길이;ながさ
重さ 무게;おもさ
高さ 높이;たかさ
大きさ 크기;おおきさ
～便 ~편;～びん
～? ~호;～ごう
～個 ~개;～こ
～本 ~자루, 개비(긴것);～ほん（～ぽん、～ぼん）
～杯 ~잔;～はい（～ぱい、～ばい）
 ~키로;～キロ
 ~그래무;～グラム
 ~센치;～センチ
 ~미리;～ミリ
～以上 ~이상;～いじょう
～以下 ~이하;～いか
成績 성적;せいせき
?子 상태, 모습;ようす
事件 사건;じけん
 오토바이;オ?トバイ
爆? 폭탄;ばくだん
運?手 운전수;うんてんしゅ
犯人 범인;はんにん
お年玉 세뱃돈;おとしだま
(お)見舞い 문병, 위문품;(お)みまい
興味 흥미;きょうみ
情報 정보;じょうほう
文法 문법;ぶんぽう
?音 발음;はつおん
猿 원숭이;さる
 먹이, 사료;えさ
 장난감;おもちゃ
?本 그림책;えほん
