 * ~라고 읽습니다;～と　よみます   
 * ~라고 쓰여져 있습니다;～と　かいて　あります   
 * X는 Y라는 뜻입니다;Xは　Yと　いう　いみです   
 * ~는 무슨 뜻입니까?;～は　とう　いう　いみですか？   
 * ~라고 말했습니다. (말 전달);～と　いって　いました   
 * ~라고 말했습니다. (말 인용);～と　いいました   
 * ~라고 전해주시지 않겠습니까?;～と　つたえて　いただけませんか   
 * ~할 수 있게 됩니다;사전형+ようになります   
 헤엄칠 수 있게 됩니다;およげるようになります   
 먹을 수 있게 됩니다;食べるようになります   
 * ~못하게 됩니다;～なくなります   
 못 읽게 됩니다;よめなくなります   
 못 입게 됩니다;きられなくなります   
 * ~하도록 하고 있습니다;사전형+ように　して　います   
 뭐든지 먹도록 하고 있습니다;何でも　食べるように　して　います   
 * ~하지 않도록 하고 있습니다;ない형+ように　して　います   
 먹지 않도록 하고 있습니다;食べないように　して　います   
 * ~하도록 하십시오;사전형+ように　して　ください   
 * ~하지 않도록 하십시오;ない형+ように　して　ください   
 시간에 늦지 않도록 하십시오;時間に　?れないように　して　ください   
 * (가정법) ~하면,1（～ます）;ます형＋え열+ば、   
 단추를 누르면;ボタンを　おせば、   
 들으면;きけば、   
 바쁘면;いそげば、   
 마시면;のめば、   
 부르면;よべば、   
 내리면;ふれば、   
 생각하면;おもえば、   
 기다리면;まてば、   
 제출하면;だせば、   
 읽으면;はれれば、   
 물어보면;おりれば、   
 보면;みれば、   
 그가 가면;彼が　行けば、   
 * (가정법) ~하면,2（～れます、～ります등）;ます형+れば、   
 맑으면;はれれば、   
 내리면;おりれば、   
 * (가정법) ~하면,3（い）;～ければ、   
 달리 의견이 없으면;ほかに　いけんが　なければ、   
 비싸면;たかければ、   
 맞으면;ただしければ、   
 없으면;なければ、   
 (6시에) 일어나지 않으면;(6時に)　おきなければ、   
 (부장과) 상담하지 않으면;(部長に)　そうだんしなければ、   
 바쁘면;忙しければ、   
 좋다면;良ければ、   
 나쁘면;?ければ、   
 * (가정법) ~하면,4（な、명）;～なら、   
 날씨가 좋으면;いい　天?なら、   
 무리라면;無理なら、   
 예쁘면;きれいなら、   
 성실하면;まじめなら、   
 비 오면;あめなら、   
 무료이면;むりょうなら、   
 한가하면;ひまなら、   
 좋은 날씨이면;いい　てんきなら、   
 쉬는 날이면;やすみなら、   
 * (점증법) ~하면 할수록;（가정형え열）ば+（사전형,い,な）ほど、   
 들으면 들을수록 좋아집니다;きけば　きくほど　好きに　なります   
 간단하면 간단할수록 좋습니다;簡?なら　簡?なほど　いいです   
 사용하면 할수록;つかえば　つかうほど   
 새로우면 새로울수록;あたらしければ　あたらしいほど   
 * (수동태) ~당합니다1(일반);あ열+れます、あ열+れる   
 쓰여집니다;かかれます   
 쓰여지지 않은;かかれない   
 쓰여져;かかれて   
 (나에 의해서) 쓰여졌습니다;(私に　よって)　かかれました   
 부탁받았습니다;たのまれました   
 물렸습니다;かまれました   
 부서졌습니다;こわされました   
 (회의가) 열렸습니다;(かいぎは)　ひらかれました   
 수출되고 있습니다;ゆしゅつされて　います   
 보리로(원료) 만들어집니다;むぎから　つくられます   
