미기샤센;우측차선
히다리샤센;좌측차선
우세츠;우회전
사세츠;좌회전
코쿠하쿠;고백
조오기데 하캇테;자로 재서
오코시테 쿠레;깨워줘
후늘헤져;후야스 늘리다 헤라수 줄이다
나이떼따;울고 있었다.
헤라스 사게떼;-, 볼륨등을 내리다
후야스 아게떼;+, 올리다
다카라모노;보물
죠ㅡ부;튼튼한
오미야게;선물 
브란도힌;명품
큐우코;휴강
니와;정원
마쯔;소나무
샤코;차고
히키다시;서랍
조우;코끼리
셋쇼우;고객과의 줄다리기 식의 경쟁협상
코오쇼오;공동목표를 둔 교섭
테쥰쇼;절차서
카쿠초오시;확장자
켄메이;메일다이모쿠 x
혼분;메일나이요오 x 
소우신;메일오쿠리 x
오테스우 오카케시테시마이 모오시와케고자이마센;번거롭게 해드려 죄송합니다. 
口座一覧 코우자 이치란;계좌 일람
資産比率 시산 히리츠;자산 비율
残高合計 잔다카 고오케에;잔고 합계
家計管理 카케에 칸리;가계 관리
収支 슈우시;수지
支出 시슈츠;지출
カード引落 카아도 히키오토시;카드 이체
今月明細 콘게츠 메에사이;이달 명세
推移グラフ 스이이 그라후;추이 그래프
銀行口座 긴코오 코오자;은행계좌
うちデビット 우치 데빗또;그중 체크(카드)
振替 후리카에;대체
振込 후리코미;불입금 = 계좌이체
텟수료;수수료
히키다시;출금
오와즈케이레;입금 
히키오토시;자동이체 (매월)
